"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"White Plains, New York","New York","White Plains","Beauty Parlor",1,1939,"",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Dance Hall",1,1938,"",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Tavern",2,1938,"",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Beauty Parlor",1,1938,"",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Dine and Dance",1,1937,"",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Restaurant",2,1938,"One is advertisement",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Restaurant",1,1937,"",-73.7629097,41.0339862
"White Plains, New York","New York","White Plains","Restaurant",3,1939,"",-73.7629097,41.0339862
"Wildwood, New Jersey","New Jersey","Wildwood","Hotel",1,1939,"",-74.8148894,38.9917797
"Wildwood, New Jersey","New Jersey","Wildwood","Tourist Home",7,1939,"",-74.8148894,38.9917797
"Wilkes Barre, Pennsylvania","Pennsylvania","Wilkes Barre","Hotel",1,1939,"",-75.8813075,41.2459149
"Wilkes Barre, Pennsylvania","Pennsylvania","Wilkes Barre","Hotel",1,1938,"",-75.8813075,41.2459149
"Williamsport, Pennsylvania","Pennsylvania","Williamsport","Tourist Home",4,1938,"",-77.0010786,41.2411897
